338	L_ 142 / B_ {#akzikaH#}	akzikaH
339	L_ 143 / B_ {#akziRI#}	akziRI
340	L_ 144 / B_ {#akzita#}	akzita
341	L_ 144 / B_ {#akzita#} / M_ {#--taM#}	akzitaM
342	L_ 144 / B_ {#akzita#} / S_ {#--Uti-vasu#}	akzitavasu,akzitoti
343	L_ 145 / B_ {#akzitaraM#}	akzitaraM
344	L_ 146 / B_ {#akziti#}	akziti
345	L_ 146 / B_ {#akziti#} / M_ {#--tiH#}	akzitiH
346	L_ 147 / B_ {#akziyat#}	akziyat
347	L_ 148 / B_ {#akzivaH#}	akzivaH
348	L_ 148 / B_ {#akzivaH#} / M_ {#--vaM#}	akzivaM
349	L_ 149 / B_ {#akzIka#}	akzIka
350	L_ 150 / B_ {#akzIva--(ba)#}	akzIva
351	L_ 150 / B_ {#akzIva--(ba)#} / M_ {#--vaH#}	akzIvaH
352	L_ 150 / B_ {#akzIva--(ba)#} / M_ {#--vaM#}	akzIvaM
353	L_ 151 / B_ {#akzu#}	akzu
354	L_ 152 / B_ {#akzuRRa#}	akzuRRa
355	L_ 153 / B_ {#akzudra#}	akzudra
356	L_ 153 / B_ {#akzudra#} / M_ {#--draH#}	akzudraH
357	L_ 154 / B_ {#akzuD#}	akzuD
358	L_ 155 / B_ {#akzuDya#}	akzuDya
359	L_ 156 / B_ {#akzetra#}	akzetra
360	L_ 156 / B_ {#akzetra#} / M_ {#--traM#}	akzetraM
361	L_ 156 / B_ {#akzetra#} / S_ {#--vid#}	akzetravid
362	L_ 157 / B_ {#akzetrin#}	akzetrin
363	L_ 158 / B_ {#akzowaH#}	akzowaH
364	L_ 159 / B_ {#akzoqaH#}	akzoqaH
365	L_ 160 / B_ {#akzoBa#}	akzoBa
366	L_ 160 / B_ {#akzoBa#} / M_ {#--BaH#}	akzoBaH
367	L_ 161 / B_ {#akzoBya#}	akzoBya
368	L_ 161 / B_ {#akzoBya#} / M_ {#--ByaH#}	akzoByaH
369	L_ 161 / B_ {#akzoBya#} / S_ {#--kavacaM#}	akzoByakavacaM
370	L_ 162 / B_ {#akzOhiRI#}	akzOhiRI
371	L_ 163 / B_ {#akzRa#}	akzRa
372	L_ 163 / B_ {#akzRa#} / M_ {#--kzRaM#}	akzRaM
373	L_ 164 / B_ {#akzRayA#}	akzRayA
374	L_ 165 / B_ {#akzRayAvan#}	akzRayAvan
375	L_ 166 / B_ {#aKawwaH#}	aKawwaH
376	L_ 167 / B_ {#aKawwiH#}	aKawwiH
377	L_ 168 / B_ {#aKaMqa#}	aKaMqa
378	L_ 168 / B_ {#aKaMqa#} / M_ {#--qaM#}	aKaMqaM
379	L_ 169 / B_ {#aKaMqana#}	aKaMqana
380	L_ 169 / B_ {#aKaMqana#} / M_ {#--naM#}	aKaMqanaM
381	L_ 169 / B_ {#aKaMqana#} / M_ {#--naH#}	aKaMqanaH
382	L_ 170 / B_ {#aKaMqita#}	aKaMqita
383	L_ 170 / B_ {#aKaMqita#} / S_ {#--utsava#}	aKaMqitotsava
